file,instance_name,n,num_constraints,gamma,eta0_tuned,num_runs,all_converged_to_stationary,all_binary,all_feasible,all_strict_local_min_certified,any_saddle_evidence,avg_iterations,avg_runtime_sec,max_binarity_error,metadata
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r4-7_set_packing_s129.json,random_unit_n30_m30_set_packing,30,30,2.044284233569464,0.125,20,True,True,True,True,False,20.6,0.018279409408569335,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m30_r4-7_tight_s113.json,random_unit_n30_m30_tight,30,30,2.099736186876385,0.25,20,True,True,True,True,False,7.4,0.009157025814056396,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r3-5_half_s122.json,random_unit_n30_m45_half,30,45,2.02097626291436,0.125,20,True,True,True,True,False,11.0,0.011599397659301758,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r3-5_mixed_s106.json,random_unit_n30_m45_mixed,30,45,2.0892672619850208,0.125,20,True,True,True,True,False,13.15,0.015108752250671386,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r3-5_set_packing_s130.json,random_unit_n30_m45_set_packing,30,45,2.044399845928635,0.125,20,True,True,True,True,False,12.95,0.012843239307403564,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r3-5_tight_s114.json,random_unit_n30_m45_tight,30,45,2.0556614694715702,2.0,20,True,True,True,True,False,7.65,0.011603784561157227,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [3, 5]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r4-7_half_s123.json,random_unit_n30_m45_half,30,45,2.030065878036364,0.125,20,True,True,True,True,False,15.5,0.024300432205200194,0.0,"{""capacity_mode"": ""half"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r4-7_mixed_s107.json,random_unit_n30_m45_mixed,30,45,2.007826538330608,0.125,20,True,True,True,True,False,12.55,0.02061070203781128,0.0,"{""capacity_mode"": ""mixed"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r4-7_set_packing_s131.json,random_unit_n30_m45_set_packing,30,45,2.0921404581403555,0.125,20,True,True,True,True,False,19.0,0.02495697736740112,0.0,"{""capacity_mode"": ""set_packing"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
/egr/research-pac/huang248/higer_order_unit_packing/higher_order_pgd_sweep_results/random_unit/n30_m45_r4-7_tight_s115.json,random_unit_n30_m45_tight,30,45,2.0563962961200826,0.25,20,True,True,True,True,False,7.45,0.013816213607788086,0.0,"{""capacity_mode"": ""tight"", ""generator"": ""random_unit_packing"", ""row_size_range"": [4, 7]}"
